id,position
p165,35.74152700 139.55890100
p166,35.71479800 139.54482000
p167,35.75074300 139.54591000
p168,35.77198900 139.35405400
p169,35.74211500 139.25740500
p170,35.72684000 139.14885200
p171,35.80952000 139.09621400
p172,35.81529000 139.14985800
p173,34.75005800 139.35561900
p174,34.77353300 139.36033700
p175,34.78516700 139.39157500
p176,34.78321900 139.41273100
p177,34.73318700 139.35620600
p178,34.68336100 139.41406200
p179,34.68673100 139.44119100
p180,34.52935400 139.28258400
p181,34.37713800 139.25655600
p182,34.32455700 139.21804000
p183,34.42074500 139.28220500
p184,34.20537100 139.13442600
p185,34.07577900 139.47974700
p186,34.12089551 139.52254326
p187,34.11460758 139.50103683
p188,34.09986800 139.49091600
p189,34.05922500 139.54658200
p190,33.89715600 139.59600900
p191,33.10941300 139.79092700
p192,33.11886700 139.80227200
p193,33.07156400 139.79616900
p194,33.06623200 139.81323600
p195,33.08217500 139.85221000
p196,32.46653700 139.76333700
p197,27.09438000 142.19190400
p198,26.64146700 142.15876500
p199,35.69425000 139.41969800
